epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,train_rmse_epoch,train_rmse_step,val_loss,val_r2,val_rmse
4,,734,,,,,,,159.51571655273438,-0.8082365989685059,12.166783332824707
4,,734,243.9893341064453,,-1.7306820154190063,,15.126418113708496,,,,
,0.001,735,,,,,,,,,
5,,739,,152.26434326171875,,-1.1195621490478516,,12.037620544433594,,,
5,,749,,217.1848602294922,,-1.9893133640289307,,14.389938354492188,,,
5,,759,,215.0677490234375,,-1.2882936000823975,,14.259745597839355,,,
5,,769,,161.7772674560547,,-0.5102380514144897,,12.449482917785645,,,
5,,779,,179.19493103027344,,-1.3517274856567383,,12.968437194824219,,,
5,,789,,149.88880920410156,,-0.6877666711807251,,11.863155364990234,,,
5,,799,,129.9757080078125,,-0.4567781686782837,,11.12753677368164,,,
5,,809,,174.97525024414062,,-0.8798326849937439,,12.726299285888672,,,
5,,819,,159.48849487304688,,-0.6091746687889099,,12.11977481842041,,,
5,,829,,107.30987548828125,,-0.10137802362442017,,9.986804008483887,,,
5,,839,,137.2039794921875,,-0.9378888607025146,,11.443105697631836,,,
5,,849,,122.25772094726562,,-0.1411074995994568,,10.756608963012695,,,
5,,859,,120.81075286865234,,-0.3093433976173401,,10.777728080749512,,,
5,,869,,138.9296875,,-0.32205909490585327,,11.511322975158691,,,
5,,879,,143.11024475097656,,-1.134667158126831,,11.74254035949707,,,
5,,881,,,,,,,102.33074951171875,-0.14300279319286346,9.674678802490234
5,,881,151.5144805908203,,-0.6688958406448364,,11.867456436157227,,,,
,0.001,882,,,,,,,,,
6,,889,,69.52238464355469,,0.245295912027359,,8.079078674316406,,,
6,,899,,125.73115539550781,,-0.3203064799308777,,10.708151817321777,,,
6,,909,,125.30180358886719,,-0.5090159177780151,,10.72982120513916,,,
6,,919,,89.00602722167969,,0.13549348711967468,,9.196742057800293,,,
6,,929,,89.67495727539062,,0.16576865315437317,,9.225213050842285,,,
6,,939,,73.38789367675781,,0.11780756711959839,,8.388629913330078,,,
6,,949,,107.61373901367188,,-0.21243104338645935,,10.0978364944458,,,
6,,959,,79.27371215820312,,0.029983609914779663,,8.68089485168457,,,
6,,969,,131.06658935546875,,-0.01971718668937683,,11.10793685913086,,,
6,,979,,111.37939453125,,-0.07230198383331299,,10.344239234924316,,,
6,,989,,61.42920684814453,,0.257236123085022,,7.752097129821777,,,
6,,999,,79.89368438720703,,0.29437771439552307,,8.633456230163574,,,
6,,1009,,80.03678894042969,,0.21576017141342163,,8.647149085998535,,,
6,,1019,,127.25730895996094,,-0.3663843274116516,,11.136131286621094,,,
6,,1028,,,,,,,55.783145904541016,0.37238946557044983,7.1747870445251465
6,,1028,100.2139892578125,,-0.11667924374341965,,9.632872581481934,,,,
,0.001,1029,,,,,,,,,
7,,1029,,74.23345184326172,,-0.03006938099861145,,8.460113525390625,,,
7,,1039,,140.11630249023438,,-0.010987699031829834,,11.654637336730957,,,
7,,1049,,60.237403869628906,,0.1519259810447693,,7.658597946166992,,,
7,,1059,,101.17427825927734,,-0.3619226813316345,,9.882574081420898,,,
7,,1069,,71.53732299804688,,0.3059781789779663,,8.30992317199707,,,
7,,1079,,91.6656494140625,,0.12049826979637146,,9.425188064575195,,,
7,,1089,,77.52781677246094,,0.30359089374542236,,8.646357536315918,,,
7,,1099,,89.63778686523438,,-0.033716797828674316,,9.243799209594727,,,
7,,1109,,62.573116302490234,,-0.3318394422531128,,7.880132675170898,,,
7,,1119,,62.900291442871094,,0.14048296213150024,,7.822269916534424,,,
7,,1129,,74.65727233886719,,0.3492085039615631,,8.467682838439941,,,
7,,1139,,45.334434509277344,,0.42075636982917786,,6.684922695159912,,,
7,,1149,,76.05224609375,,0.32828113436698914,,8.593064308166504,,,
7,,1159,,48.667171478271484,,0.4072655141353607,,6.778741836547852,,,
7,,1169,,70.91217803955078,,0.2830974757671356,,8.17013168334961,,,
7,,1175,,,,,,,40.65998840332031,0.5274449586868286,6.214642524719238
7,,1175,78.29867553710938,,0.10665263235569,,8.614051818847656,,,,
,0.001,1176,,,,,,,,,
8,,1179,,82.25187683105469,,0.05743357539176941,,9.034649848937988,,,
8,,1189,,63.41962814331055,,0.4029362201690674,,7.8800740242004395,,,
8,,1199,,52.50776672363281,,0.38000020384788513,,7.171158313751221,,,
8,,1209,,78.82191467285156,,0.2760116159915924,,8.793550491333008,,,
8,,1219,,60.09747314453125,,0.339822381734848,,7.62407112121582,,,
8,,1229,,92.33369445800781,,-1.2047114372253418,,9.522212982177734,,,
8,,1239,,46.858985900878906,,0.3155520558357239,,6.73475456237793,,,
8,,1249,,41.99737548828125,,0.040893614292144775,,6.4627685546875,,,
8,,1259,,50.3507194519043,,0.5488560795783997,,6.973973274230957,,,
8,,1269,,87.1502685546875,,-0.48072588443756104,,9.250816345214844,,,
8,,1279,,93.21098327636719,,-0.16860705614089966,,9.503993034362793,,,
8,,1289,,42.464561462402344,,0.4651044011116028,,6.4296417236328125,,,
8,,1299,,70.03382110595703,,-0.1340010166168213,,8.328985214233398,,,
